City,State,Mean Fuel EUI,Mean Electric EUI,CDD,HDD
Albany,NY,23.23099255,51.30193062,391,7249
Syracuse,NY,48.2127827,57.58949096,385,7129
Charlotte,NC,13.53318626,59.45428507,1700,3383
Raleigh,NC,11.75706149,80.87048744,1539,3441
Greensboro,NC,32.25240697,109.4595853,1643,3258
Durham,NC,28.50395458,100.2095295,1488,3631
Fargo,ND,50.00285122,69.81735317,533,8824
Bismarck,ND,35.22787972,99.17960934,423,8650
Grand Forks,ND,47.77046162,76.23093899,462,9222
Minot,ND,44.03506433,96.65066237,379,9324
Dickinson,ND,4.255631437,56.3915725,400,8842
Cleveland,OH,61.56162388,71.46307526,949,5438
Cincinnati,OH,30.32034908,80.28212796,1044,5214
Dayton,OH,29.83327126,58.74761073,1264,5247
Akron,OH,45.40190334,88.50104924,884,5670
Tulsa,OK,20.75653939,97.67605025,1823,3774
Oklahoma City,OK,22.052462,105.7385313,1848,3592
Lawton,OK,13.4514424,99.20682453,2149,3399
Eugene,OR,16.66082802,114.1861261,341,4526
Salem,OR,26.6779148,69.02721459,276,4685
Medford,OR,34.80260515,50.3915834,366,5076
Bend,OR,33.19081906,55.01344125,177,6899
Philadelphia,PA,43.37488122,65.73733274,1071,4935
Pittsburgh,PA,44.09354388,73.38420393,857,5564
Allentown,PA,17.75747353,90.14041433,1265,4682
Harrisburg,PA,50.85995373,92.11591315,805,5421
Lancaster,PA,42.36142529,98.32453837,934,5321
Providence,RI,32.08636042,48.7658571,616,6115
Newport,RI,30.53134736,80.38871131,600,5732
Charleston,SC,21.20947214,119.992456,2340,2018
Charleston,SC,21.20947214,119.992456,2340,2018
Charleston,WV,21.20947214,119.992456,924,4955
Charleston,WV,21.20947214,119.992456,924,4955
Greenville,SC,35.21486995,99.07052811,1490,3411
Spartanburg,SC,81.74243975,174.5006129,1401,3712
Rock Hill,SC,26.68203616,78.09702454,1930,2815
Sioux Falls,SD,26.23730963,38.72779439,579,7884
Rapid City,SD,31.29330843,83.56480204,295,7551
Aberdeen,SD,19.34471062,70.27144234,525,8534
Memphis,TN,22.10694152,95.38076622,2021,3317
Nashville,TN,38.6383685,121.8261634,1332,4107
Knoxville,TN,52.69375786,91.18226672,1339,3955
Chattanooga,TN,17.41534028,92.40368921,1433,3560
Houston,TX,12.98920092,80.5804659,2586,1469
Dallas,TX,7.79911658,85.1680848,2463,2429
San Antonio,TX,7.9709488,105.1780002,2364,2049
Austin,TX,8.99227297,85.44434022,2710,1918
Salt Lake City,UT,52.62919086,82.40070317,21,9639
Provo,UT,,,662,5962
Ogden,UT,62.42020424,97.16772637,1174,5670
Logan,UT,64.11370387,73.88903332,704,6680
Burlington,VT,19.15118099,77.80400131,484,7432
Virginia Beach,VA,11.41192572,62.97189709,1647,3215
Norfolk,VA,13.3557913,86.46286453,1836,2958
Richmond,VA,18.72215527,100.2043121,1292,4096
Hampton,VA,19.02000499,86.78985667,1836,2958
Roanoke,VA,30.61558702,55.88477201,1061,4354
Seattle,WA,26.39955839,95.48640824,165,4919
Tacoma,WA,21.40859922,141.2801817,223,4531
Vancouver,WA,21.29865431,72.81282197,330,4447
Everett,WA,37.77492151,105.1763289,111,4937
Spokane,WA,40.50853507,94.66536315,249,7139
Huntington,WV,41.882126,75.17244207,948,5223
Morgantown,WV,17.27391281,68.4569909,744,5709
Wheeling,WV,32.4598152,61.07768863,909,5303
Milwaukee,WI,50.80582748,63.27656193,568,7304
Madison,WI,43.36853111,86.97262258,597,7283
Green Bay,WI,30.73091425,59.51795983,358,7885
Cheyenne,WY,41.14711031,70.35345778,364,7170
Casper,WY,32.85418057,81.75122561,314,7866
Gillette,WY,35.23085954,68.48671187,522,7375
Laramie,WY,,,70,8767
